Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Attendance Rate
5,69,Yes,7,7,56.0,83
4,67,Yes,6,5,49.0,67
8,66,No,4,7,59.0,76
1,81,Yes,6,8,59.0,77
9,58,No,7,8,54.0,86
1,44,Yes,8,5,17.0,71
8,97,Yes,5,7,90.0,81
4,44,Yes,9,1,23.0,65
9,80,No,9,7,82.0,82
5,66,No,7,2,49.0,64
3,67,Yes,9,0,50.0,74
9,65,Yes,7,6,60.0,77
9,66,No,6,0,60.0,100
4,91,No,8,0,74.0,90
4,88,Yes,5,0,71.0,72
8,81,Yes,9,3,77.0,82
2,60,No,8,3,34.0,79
9,40,Yes,8,9,39.0,90
6,93,No,8,5,85.0,76
9,67,No,4,9,64.0,64
8,87,Yes,8,2,87.0,100
7,97,Yes,7,9,91.0,96
1,97,Yes,4,5,73.0,77
3,54,No,4,6,34.0,74
2,94,No,8,0,70.0,60
5,56,No,9,5,42.0,73
5,65,Yes,9,9,55.0,81
5,59,Yes,9,0,45.0,82
4,64,No,9,6,49.0,66
5,52,No,7,9,37.0,71
3,72,Yes,9,4,55.0,69
1,64,No,5,9,38.0,73
5,47,Yes,8,3,35.0,62
9,44,Yes,4,0,41.0,69
9,45,No,5,8,43.0,64
4,62,No,9,6,46.0,80
3,91,No,5,1,69.0,91
1,69,No,4,3,37.0,68
2,53,No,9,3,31.0,69
8,93,Yes,5,7,90.0,79
1,62,No,7,1,33.0,66
8,50,Yes,7,4,44.0,73
7,70,No,8,9,62.0,100
8,45,No,8,7,41.0,62
6,50,No,5,5,38.0,84
9,52,No,4,3,45.0,83
3,51,No,7,4,34.0,72
4,93,No,6,1,72.0,100
6,41,Yes,8,4,29.0,71
8,92,No,7,2,83.0,93
5,74,No,9,2,61.0,80
3,94,No,5,6,75.0,97
6,75,No,7,2,63.0,91
4,56,Yes,7,3,36.0,64
9,67,Yes,5,6,62.0,69
3,67,Yes,8,2,49.0,74
4,61,Yes,8,9,46.0,67
7,77,Yes,6,9,69.0,83
7,46,Yes,6,1,35.0,81
4,54,No,8,9,38.0,67
6,71,No,8,6,62.0,80
3,50,Yes,8,4,30.0,68
6,63,No,8,0,52.0,84
2,42,No,7,9,16.0,42
8,69,No,6,7,66.0,77
2,45,No,5,2,20.0,66
7,97,No,4,6,86.0,100
9,41,Yes,5,5,38.0,67
1,53,Yes,9,9,30.0,51
8,80,Yes,4,5,71.0,90
7,57,Yes,7,7,49.0,70
6,90,Yes,9,3,79.0,77
6,83,Yes,6,3,69.0,78
6,70,No,4,2,56.0,77
9,52,Yes,8,0,47.0,69
2,65,No,9,9,41.0,52
1,83,No,7,2,58.0,87
6,51,Yes,4,0,38.0,83
8,57,Yes,8,5,52.0,83
3,48,Yes,9,7,25.0,55
1,88,No,7,2,62.0,79
9,60,Yes,9,3,60.0,80
1,87,Yes,4,4,63.0,87
3,88,Yes,8,6,72.0,91
8,92,No,6,5,84.0,83
3,95,Yes,7,1,74.0,86
4,79,Yes,4,6,61.0,85
8,82,No,8,7,77.0,100
1,63,No,6,0,36.0,77
6,73,No,9,5,65.0,89
1,47,Yes,8,8,23.0,66
1,83,Yes,6,6,60.0,93
8,92,No,4,4,83.0,93
4,72,Yes,8,9,56.0,70
1,62,No,8,9,37.0,83
7,52,No,5,8,43.0,79
5,93,No,7,1,76.0,82
5,92,No,8,6,83.0,85
1,88,No,6,8,63.0,84
6,53,Yes,7,1,39.0,76
9,53,Yes,4,9,48.0,77
9,55,Yes,7,5,53.0,80
8,88,Yes,5,8,84.0,100
5,77,No,4,2,63.0,91
1,97,Yes,8,7,73.0,87
9,99,No,9,4,99.0,100
1,78,No,4,6,52.0,67
8,65,Yes,4,2,58.0,83
5,65,Yes,5,7,50.0,92
3,40,No,6,1,18.0,61
7,71,Yes,4,7,62.0,73
7,96,Yes,6,1,87.0,85
9,54,Yes,7,6,53.0,67
7,91,Yes,9,1,87.0,84
3,60,No,5,6,37.0,67
1,57,No,8,0,31.0,55
8,69,Yes,4,5,63.0,81
3,99,No,9,9,81.0,97
8,97,No,9,6,95.0,86
8,52,Yes,6,3,45.0,88
5,63,Yes,4,0,48.0,80
1,69,No,9,5,47.0,84
7,41,No,5,3,31.0,62
5,58,No,8,2,43.0,81
8,86,Yes,7,3,82.0,79
9,83,No,7,5,80.0,96
7,86,No,6,4,76.0,88
7,64,Yes,9,1,57.0,84
1,89,No,7,1,64.0,71
4,53,Yes,6,2,35.0,62
2,45,Yes,8,5,24.0,71
2,51,No,4,0,30.0,59
2,59,Yes,5,6,38.0,75
4,62,Yes,8,7,45.0,61
1,69,No,8,6,44.0,81
4,69,Yes,7,2,53.0,66
2,77,No,7,5,53.0,82
5,97,Yes,5,3,84.0,95
3,69,Yes,4,4,47.0,68
8,80,No,8,2,76.0,92
4,69,No,9,4,57.0,81
1,96,No,7,5,71.0,79
1,97,Yes,8,7,74.0,76
3,75,No,4,5,54.0,60
9,88,Yes,6,8,84.0,93
7,73,No,4,9,62.0,66
2,55,Yes,8,9,35.0,71
9,63,No,8,9,62.0,78
2,53,Yes,5,9,30.0,74
3,65,No,8,3,47.0,72
2,47,Yes,7,1,25.0,63
3,53,Yes,9,8,40.0,78
6,70,Yes,5,2,56.0,81
9,41,Yes,8,6,38.0,74
9,87,No,4,3,86.0,95
7,43,Yes,8,0,38.0,57
3,40,No,4,7,17.0,69
4,94,Yes,4,3,75.0,92
6,59,No,8,5,48.0,66
5,98,Yes,4,6,87.0,89
2,53,Yes,9,7,32.0,68
6,79,No,6,9,68.0,82
3,64,No,5,1,42.0,76
8,99,Yes,8,8,96.0,100
2,64,No,6,9,42.0,82
1,42,No,4,2,18.0,51
9,44,No,4,0,41.0,78
3,77,Yes,5,1,54.0,90
1,93,No,6,7,67.0,86
7,65,Yes,6,9,57.0,89
5,79,No,8,5,65.0,100
5,77,No,4,0,62.0,90
1,77,Yes,7,8,56.0,81
9,43,No,8,6,39.0,81
7,46,No,8,9,38.0,72
8,69,No,8,2,65.0,82
9,69,No,5,6,68.0,80
6,95,No,5,5,82.0,100
5,58,No,8,2,44.0,66
6,78,No,9,7,67.0,97
2,74,Yes,7,0,53.0,82
4,79,Yes,6,4,61.0,68
3,72,Yes,6,7,53.0,80
7,72,Yes,4,2,61.0,61
9,53,Yes,6,9,49.0,81
5,77,No,6,5,61.0,88
6,49,Yes,7,9,38.0,66
2,96,Yes,6,1,76.0,88
3,67,No,7,8,47.0,92
3,53,Yes,5,1,32.0,64
9,75,No,7,4,71.0,75
7,77,No,5,2,69.0,97
8,55,Yes,7,9,53.0,95
9,99,Yes,8,8,100.0,96
6,60,No,9,8,49.0,85
4,67,No,5,6,48.0,87
1,72,Yes,5,9,45.0,67
8,45,No,6,4,40.0,67
7,80,Yes,5,8,71.0,96
2,54,Yes,7,6,34.0,85
8,83,Yes,8,1,76.0,92
5,42,Yes,8,9,29.0,59
7,82,No,6,0,71.0,100
4,86,No,7,9,69.0,79
5,74,Yes,7,9,58.0,76
8,53,Yes,4,3,43.0,76
1,41,No,5,9,17.0,77
1,68,No,6,7,41.0,80
4,43,No,8,5,27.0,70
3,65,No,9,1,45.0,78
2,90,No,4,4,65.0,82
3,51,Yes,7,8,31.0,73
1,41,Yes,5,5,14.0,40
1,56,Yes,8,5,33.0,66
6,74,Yes,4,6,60.0,82
5,49,No,7,4,34.0,59
8,87,No,8,2,82.0,92
2,61,Yes,8,2,40.0,70
4,80,Yes,7,4,66.0,98
8,82,No,7,3,76.0,100
6,60,Yes,6,4,46.0,70
1,54,Yes,8,8,31.0,67
4,74,No,7,4,57.0,78
1,87,No,9,3,65.0,78
2,60,No,9,3,38.0,73
5,60,Yes,4,0,46.0,67
8,60,No,5,9,53.0,67
8,99,No,9,3,97.0,100
3,83,Yes,6,3,63.0,87
4,71,No,7,8,55.0,71
6,94,Yes,5,3,79.0,96
3,44,Yes,6,6,26.0,60
2,78,Yes,8,0,55.0,80
6,48,Yes,5,6,37.0,78
5,92,No,9,1,78.0,87
5,57,Yes,6,7,45.0,78
5,60,No,7,0,45.0,69
5,47,No,7,9,34.0,68
3,83,No,6,2,66.0,80
7,91,No,8,7,79.0,81
6,73,No,9,9,63.0,80
4,49,Yes,6,7,32.0,54
2,90,No,4,4,64.0,77
9,80,Yes,6,4,78.0,85
1,96,Yes,6,7,69.0,81
4,63,Yes,9,9,46.0,72
1,79,No,7,4,54.0,77
6,63,No,8,8,51.0,81
4,95,No,6,0,78.0,95
5,71,No,5,4,54.0,72
5,95,Yes,7,2,80.0,77
9,72,No,7,2,67.0,73
1,77,No,6,1,48.0,71
2,83,Yes,9,2,61.0,77
6,96,Yes,5,6,83.0,82
5,95,Yes,6,7,82.0,77
7,90,Yes,5,7,78.0,83
3,98,Yes,7,7,78.0,89
3,88,Yes,5,0,70.0,89
2,73,Yes,6,6,48.0,70
3,50,No,4,1,26.0,62
1,70,No,4,9,46.0,66
5,57,Yes,5,3,42.0,72
5,62,Yes,9,4,46.0,67
7,99,No,6,0,91.0,98
4,61,Yes,8,3,47.0,58
3,82,Yes,4,3,61.0,77
1,57,Yes,7,8,31.0,71
8,79,Yes,6,8,71.0,86
3,86,Yes,6,9,66.0,100
2,80,No,4,0,52.0,80
4,86,Yes,8,7,71.0,75
3,78,Yes,7,3,60.0,79
1,59,Yes,8,3,32.0,52
3,52,No,7,4,33.0,68
2,84,No,4,1,56.0,71
8,40,Yes,6,0,32.0,77
6,91,Yes,7,4,76.0,81
9,43,Yes,6,6,40.0,71
8,63,Yes,5,9,60.0,74
3,75,No,5,8,54.0,93
5,75,No,4,1,59.0,77
7,84,Yes,4,7,74.0,100
5,41,Yes,9,6,29.0,75
8,67,No,4,1,61.0,85
5,65,No,5,4,50.0,79
1,62,Yes,7,6,36.0,74
5,54,Yes,8,2,41.0,55
4,75,Yes,4,1,60.0,77
6,66,No,8,5,56.0,86
3,45,No,8,9,23.0,64
5,74,No,5,5,63.0,68
2,78,No,9,3,54.0,77
6,77,Yes,7,0,64.0,97
6,74,No,5,4,64.0,93
5,75,No,4,0,58.0,79
6,49,No,5,7,38.0,80
7,69,Yes,5,1,60.0,77
5,92,No,5,8,79.0,72
1,80,No,4,8,57.0,70
8,77,No,4,2,69.0,98
4,68,Yes,5,5,51.0,74
9,91,No,5,8,86.0,88
6,98,Yes,8,6,90.0,89
1,82,Yes,7,3,57.0,96
3,78,No,8,2,61.0,95
3,89,Yes,9,1,71.0,100
4,43,No,7,9,30.0,66
6,44,Yes,9,9,34.0,72
7,43,Yes,7,0,34.0,56
4,75,No,5,9,58.0,93
6,98,No,8,0,85.0,79
1,84,Yes,7,3,55.0,80
8,55,Yes,9,3,51.0,66
7,64,Yes,7,8,53.0,72
9,53,Yes,4,9,51.0,69
3,50,No,7,0,31.0,63
2,68,Yes,5,3,44.0,69
1,73,Yes,6,2,48.0,70
3,61,No,4,8,41.0,80
5,53,Yes,6,4,40.0,62
2,95,No,5,8,72.0,87
3,63,No,6,9,41.0,83
4,98,No,7,5,78.0,83
7,78,Yes,6,8,70.0,77
3,65,No,8,0,41.0,70
9,82,No,5,3,78.0,98
8,75,No,8,3,70.0,86
4,78,Yes,6,9,61.0,76
1,55,Yes,8,9,33.0,73
1,97,Yes,4,5,71.0,74
1,77,Yes,6,9,51.0,82
1,98,No,9,0,72.0,89
8,71,No,8,9,69.0,81
3,45,No,7,4,21.0,56
6,73,Yes,6,2,61.0,72
3,95,No,9,0,76.0,91
5,47,Yes,4,5,30.0,79
7,69,Yes,7,2,59.0,74
2,66,Yes,6,3,45.0,78
6,46,No,7,8,39.0,52
6,66,No,6,1,53.0,72
3,64,Yes,6,0,43.0,73
6,95,No,5,9,85.0,82
5,85,Yes,8,5,70.0,75
2,80,No,6,0,56.0,72
9,54,Yes,4,0,52.0,79
8,64,Yes,9,6,65.0,80
3,61,Yes,8,1,39.0,51
8,57,No,5,3,48.0,56
9,51,No,8,3,47.0,69
3,62,No,8,1,41.0,76
3,90,No,6,5,72.0,60
2,84,No,4,9,61.0,76
8,78,Yes,6,1,74.0,81
1,64,No,4,7,38.0,84
8,49,Yes,4,3,42.0,69
7,69,No,7,0,60.0,83
7,49,No,6,6,35.0,71
3,73,No,5,5,52.0,57
1,85,Yes,9,5,61.0,87
4,52,No,8,2,32.0,71
9,93,Yes,7,9,95.0,99
5,68,No,5,6,53.0,100
1,77,Yes,9,5,54.0,58
5,80,Yes,9,9,70.0,100
8,84,Yes,6,9,78.0,85
8,48,Yes,4,8,42.0,75
5,52,No,6,2,33.0,69
9,76,No,9,2,75.0,82
1,53,Yes,6,3,26.0,61
4,76,No,7,2,58.0,82
3,48,Yes,5,3,29.0,54
2,47,No,9,5,29.0,74
8,78,No,7,0,70.0,80
7,79,No,5,1,67.0,72
9,93,Yes,7,9,93.0,89
2,42,No,8,5,21.0,76
4,94,Yes,4,5,74.0,81
6,95,No,4,0,82.0,92
3,86,Yes,4,5,65.0,75
8,79,No,8,8,75.0,93
3,72,Yes,9,7,55.0,84
2,71,Yes,9,9,54.0,94
3,46,Yes,8,4,26.0,65
6,58,No,4,3,48.0,81
2,73,Yes,4,5,49.0,76
8,53,No,5,4,49.0,87
1,89,Yes,5,5,64.0,75
7,86,Yes,6,9,81.0,95
2,85,Yes,7,2,64.0,80
6,95,No,5,6,82.0,88
2,96,No,5,7,74.0,86
2,58,No,5,4,32.0,71
8,90,No,5,4,83.0,88
2,93,No,8,3,68.0,85
7,98,No,6,9,90.0,100
3,65,No,5,4,44.0,82
8,56,Yes,9,9,51.0,84
7,93,Yes,7,7,86.0,86
8,67,No,5,4,62.0,73
7,58,No,8,8,48.0,84
6,66,No,9,0,56.0,86
7,87,No,4,6,79.0,100
5,91,No,4,4,74.0,80
7,96,Yes,6,3,82.0,87
1,58,No,4,2,32.0,54
1,72,No,5,9,46.0,71
9,90,No,8,6,88.0,100
5,46,Yes,6,1,35.0,66
5,68,Yes,9,4,56.0,84
3,94,Yes,5,1,74.0,84
5,82,Yes,4,6,67.0,86
3,44,No,7,5,23.0,54
9,69,Yes,5,9,67.0,84
9,88,Yes,7,6,86.0,63
6,82,Yes,9,8,70.0,82
1,95,Yes,7,1,68.0,68
7,97,Yes,9,8,91.0,100
7,47,No,6,6,42.0,80
4,81,Yes,8,1,62.0,85
8,51,Yes,4,9,44.0,87
6,81,Yes,4,1,67.0,74
4,52,No,5,3,35.0,86
4,65,No,4,1,46.0,83
2,57,No,6,0,31.0,66
2,81,No,4,5,59.0,90
4,90,No,5,9,71.0,74
5,91,No,4,4,74.0,78
8,88,No,8,2,80.0,83
6,59,No,9,0,49.0,71
4,55,Yes,7,8,39.0,62
7,76,Yes,7,7,67.0,94
8,42,No,9,5,38.0,69
2,66,Yes,7,5,47.0,78
7,54,No,8,3,41.0,67
2,97,Yes,6,1,75.0,69
2,73,Yes,5,3,53.0,80
8,84,No,8,1,81.0,71
2,61,Yes,5,6,37.0,70
9,79,No,6,8,77.0,74
1,62,No,8,1,36.0,88
9,98,Yes,4,8,95.0,100
1,88,No,6,8,65.0,83
2,43,Yes,7,7,18.0,74
6,90,Yes,8,0,80.0,80
6,93,No,6,4,81.0,93
1,96,No,6,9,73.0,87
7,80,No,8,3,74.0,88
8,62,No,7,6,57.0,90
2,86,No,9,7,64.0,88
8,99,Yes,7,9,97.0,98
9,48,No,6,7,42.0,58
6,63,Yes,5,1,48.0,66
5,60,No,9,2,46.0,73
9,80,Yes,9,9,79.0,89
9,85,Yes,6,9,83.0,79
1,94,Yes,8,6,70.0,100
3,92,Yes,8,3,73.0,99
9,55,Yes,8,5,56.0,84
2,95,No,7,7,71.0,85
4,94,Yes,4,7,76.0,84
4,64,No,8,6,49.0,67
2,65,Yes,8,1,43.0,74
3,88,No,9,1,67.0,85
3,84,Yes,5,2,63.0,70
1,48,Yes,5,3,18.0,66
6,54,No,6,0,43.0,72
8,78,No,6,4,72.0,67
3,72,Yes,6,6,57.0,71
5,40,Yes,8,9,25.0,62
1,44,No,5,4,15.0,79
7,95,Yes,6,6,88.0,96
1,48,Yes,5,4,24.0,53
9,83,No,8,9,81.0,93
8,45,Yes,9,7,40.0,58
7,67,Yes,8,6,60.0,90
7,84,No,6,0,73.0,81
5,65,Yes,8,0,52.0,76
5,67,No,8,4,53.0,89
5,79,No,5,1,65.0,70
1,54,Yes,4,8,30.0,55
8,45,Yes,7,1,39.0,66
1,66,No,6,8,43.0,83
4,77,No,4,9,59.0,66
9,43,Yes,9,1,38.0,45
9,50,No,6,3,44.0,69
5,60,Yes,4,2,44.0,78
4,69,No,8,5,53.0,88
3,57,No,6,3,37.0,66
3,74,No,4,8,52.0,73
5,42,Yes,7,8,30.0,78
1,51,No,8,9,22.0,47
5,66,No,6,8,51.0,73
6,92,No,9,2,82.0,91
7,69,No,9,2,63.0,85
9,60,Yes,6,3,58.0,74
3,77,No,4,8,58.0,79
2,60,Yes,6,5,38.0,48
3,99,No,8,8,80.0,82
9,77,No,5,7,70.0,88
7,79,Yes,9,6,72.0,76
9,54,Yes,4,4,48.0,76
2,57,No,7,8,36.0,74
5,91,No,6,3,73.0,82
4,68,No,8,3,51.0,78
2,87,Yes,6,7,63.0,72
9,77,No,7,3,74.0,84
9,99,Yes,8,6,98.0,100
6,60,No,7,3,45.0,75
6,56,Yes,8,0,45.0,69
8,80,Yes,5,9,74.0,88
6,90,Yes,9,8,81.0,95
1,57,No,8,3,30.0,49
4,96,No,7,2,77.0,97
7,94,Yes,4,2,86.0,87
2,76,Yes,9,8,58.0,83
9,99,Yes,5,7,99.0,100
8,77,No,6,9,69.0,71
8,51,No,5,6,47.0,68
7,50,No,5,6,42.0,70
4,87,Yes,6,3,73.0,78
2,91,No,8,2,71.0,100
3,88,No,5,3,68.0,75
6,59,No,9,5,47.0,70
5,48,Yes,5,3,31.0,70
8,40,No,4,3,31.0,57
6,97,No,9,1,86.0,87
6,42,No,4,6,27.0,69
1,60,No,9,5,32.0,66
4,62,No,7,1,41.0,71
5,48,Yes,6,4,33.0,64
3,93,Yes,9,5,75.0,72
9,58,Yes,9,4,57.0,82
1,84,Yes,8,3,59.0,96
6,94,No,8,8,87.0,91
6,85,No,7,2,72.0,87
5,91,Yes,8,1,78.0,94
5,58,Yes,8,8,46.0,63
5,62,Yes,4,7,47.0,90
6,66,No,8,8,58.0,81
8,66,No,8,9,63.0,96
2,78,No,7,2,56.0,72
6,75,Yes,7,0,62.0,97
1,51,Yes,5,0,23.0,72
4,94,Yes,8,2,73.0,90
3,66,No,8,3,46.0,76
9,85,No,9,1,80.0,86
3,73,Yes,8,7,59.0,90
6,72,Yes,4,2,60.0,81
1,67,No,9,3,41.0,54
6,70,No,8,5,61.0,70
4,71,Yes,4,9,51.0,75
8,89,Yes,5,5,82.0,92
9,59,No,9,1,55.0,77
4,79,Yes,6,5,64.0,93
6,74,Yes,8,3,61.0,63
1,70,No,9,4,44.0,75
4,97,Yes,7,6,81.0,72
7,70,No,9,6,64.0,88
1,77,Yes,7,5,53.0,76
8,61,No,8,9,55.0,82
6,84,Yes,4,5,72.0,77
5,80,Yes,7,5,65.0,94
9,48,Yes,9,3,44.0,83
2,91,No,9,2,70.0,89
5,48,Yes,7,0,34.0,68
6,54,Yes,5,2,41.0,78
7,52,No,5,2,43.0,67
5,61,Yes,5,8,48.0,83
9,55,No,7,2,46.0,89
1,71,No,7,7,47.0,84
7,41,No,9,7,37.0,64
7,65,Yes,8,2,56.0,82
4,53,No,8,9,40.0,60
9,98,Yes,4,9,96.0,100
5,77,No,7,5,63.0,85
4,73,Yes,8,7,58.0,62
7,47,No,8,7,36.0,60
4,75,No,5,9,61.0,78
3,60,Yes,5,9,39.0,69
9,95,No,5,8,90.0,81
8,85,Yes,6,8,79.0,91
1,82,No,8,7,58.0,81
7,95,Yes,5,6,89.0,90
9,67,No,5,9,64.0,75
8,85,No,7,2,78.0,97
8,83,Yes,9,6,79.0,100
6,87,No,5,3,72.0,80
4,45,Yes,7,1,26.0,61
8,59,Yes,4,7,52.0,81
3,70,No,5,1,49.0,72
9,72,No,9,0,66.0,81
2,83,No,7,4,59.0,86
2,46,Yes,9,9,28.0,50
7,47,Yes,5,8,39.0,83
4,48,No,4,4,31.0,69
8,41,Yes,5,1,33.0,65
9,56,No,7,9,57.0,78
7,91,No,4,3,83.0,89
5,84,No,4,7,69.0,68
8,76,Yes,4,6,71.0,98
4,81,Yes,6,4,62.0,81
2,83,No,7,3,58.0,83
6,56,Yes,6,4,46.0,83
9,92,No,9,6,93.0,84
1,77,No,4,4,48.0,79
7,74,Yes,6,7,68.0,81
9,99,No,5,6,97.0,100
9,86,No,6,6,82.0,69
3,78,No,8,8,57.0,78
5,69,No,9,7,55.0,72
8,45,No,4,7,37.0,75
8,43,Yes,4,5,35.0,74
4,90,Yes,9,6,72.0,78
1,76,No,9,7,51.0,70
1,74,Yes,7,4,50.0,75
4,97,No,5,9,82.0,81
6,96,No,9,1,84.0,97
8,48,No,9,6,46.0,71
6,45,No,7,9,34.0,43
9,52,Yes,9,2,55.0,74
9,98,Yes,6,9,95.0,85
2,61,No,8,7,40.0,57
1,67,Yes,8,5,42.0,61
2,69,No,8,3,45.0,75
5,91,Yes,9,1,80.0,100
4,75,No,8,6,60.0,83
4,41,No,5,0,21.0,59
9,97,No,6,6,95.0,98
8,75,Yes,8,9,72.0,81
6,47,Yes,4,9,35.0,63
1,84,No,9,6,58.0,69
2,81,Yes,6,9,59.0,64
6,89,Yes,5,2,77.0,83
2,48,Yes,8,3,23.0,66
5,40,Yes,5,3,26.0,65
5,52,Yes,9,3,39.0,68
6,89,Yes,8,8,79.0,79
6,54,Yes,4,5,39.0,77
6,71,Yes,6,9,61.0,68
2,73,Yes,4,8,47.0,82
3,82,Yes,8,3,63.0,72
6,70,Yes,7,6,61.0,73
8,53,Yes,6,9,51.0,63
1,93,Yes,5,8,68.0,79
1,86,No,8,9,66.0,91
2,53,No,4,2,29.0,72
6,87,Yes,9,2,78.0,96
9,94,Yes,7,5,94.0,99
4,68,Yes,9,7,56.0,68
3,86,No,8,0,68.0,80
8,58,No,5,3,50.0,69
9,66,Yes,4,7,62.0,93
5,48,Yes,6,5,31.0,57
9,76,Yes,7,1,73.0,93
2,76,Yes,8,7,57.0,87
3,82,Yes,8,0,60.0,97
7,67,No,8,0,56.0,75
7,91,Yes,8,6,88.0,98
6,96,No,4,9,84.0,100
6,63,Yes,6,2,48.0,69
2,67,Yes,5,7,41.0,58
6,75,No,7,8,65.0,65
4,91,No,8,7,74.0,92
3,57,Yes,9,0,38.0,54
2,64,No,8,0,40.0,68
1,74,Yes,6,5,49.0,79
5,43,No,6,0,30.0,69
2,53,No,4,7,29.0,71
2,78,Yes,4,5,57.0,81
7,65,Yes,9,4,58.0,91
8,47,No,9,5,40.0,63
8,63,Yes,4,3,60.0,74
4,55,No,7,0,41.0,65
1,59,No,9,6,34.0,77
7,54,Yes,4,9,46.0,82
1,46,No,8,8,24.0,69
4,97,Yes,4,3,79.0,98
8,56,Yes,7,3,52.0,66
2,61,No,4,8,36.0,85
6,61,Yes,4,3,52.0,91
6,93,No,8,9,84.0,96
9,51,No,9,3,50.0,92
5,57,Yes,8,7,47.0,60
4,95,Yes,8,3,81.0,84
5,85,No,4,8,70.0,77
5,86,Yes,8,7,77.0,93
8,54,No,6,4,49.0,66
8,76,No,5,8,70.0,91
2,55,No,5,7,28.0,79
7,44,No,8,9,36.0,77
8,41,No,9,3,34.0,72
6,91,Yes,7,3,80.0,79
5,67,No,8,0,51.0,69
9,96,No,9,3,95.0,100
3,80,No,8,7,60.0,87
4,93,No,4,4,78.0,87
9,66,No,9,5,65.0,78
6,70,No,7,3,57.0,60
8,80,Yes,8,4,75.0,76
7,75,Yes,6,9,69.0,100
2,86,No,9,7,62.0,69
3,82,No,5,8,63.0,83
1,40,No,9,2,11.0,69
9,89,Yes,6,9,91.0,81
7,68,No,6,3,58.0,81
1,40,No,6,0,15.0,70
3,47,No,7,4,24.0,65
4,96,No,7,3,80.0,100
4,55,No,9,5,36.0,55
5,97,No,7,5,83.0,99
3,67,Yes,5,9,49.0,74
3,61,No,4,5,41.0,79
1,57,No,9,2,33.0,73
7,61,No,8,6,52.0,70
1,80,No,8,2,52.0,79
2,51,No,9,5,31.0,51
4,58,No,4,9,38.0,77
4,64,No,8,0,45.0,77
5,89,No,9,7,79.0,93
2,98,No,9,6,78.0,97
4,44,Yes,6,8,24.0,69
1,98,Yes,5,2,72.0,86
2,73,Yes,8,7,52.0,69
1,78,No,5,1,50.0,69
4,98,Yes,9,8,83.0,100
4,49,Yes,4,0,32.0,82
7,86,Yes,9,9,84.0,88
9,96,Yes,8,6,95.0,95
9,46,No,5,9,43.0,65
5,99,Yes,6,0,82.0,100
1,76,Yes,6,5,54.0,84
1,86,No,9,0,59.0,97
6,91,Yes,4,3,78.0,79
2,99,No,7,6,79.0,84
8,91,Yes,8,1,87.0,93
9,54,Yes,9,2,53.0,83
4,81,Yes,6,3,65.0,80
5,63,No,6,5,48.0,67
8,65,Yes,4,8,61.0,88
3,65,Yes,6,3,41.0,79
5,85,No,8,5,75.0,78
3,65,Yes,4,6,44.0,86
3,97,Yes,5,3,79.0,98
3,49,Yes,4,5,29.0,69
7,56,Yes,8,2,44.0,74
7,92,Yes,8,4,85.0,95
7,53,No,5,9,40.0,64
8,41,No,9,3,36.0,70
5,87,No,4,6,72.0,65
5,52,Yes,8,5,36.0,78
4,66,Yes,8,6,51.0,62
7,48,Yes,5,5,38.0,85
4,46,Yes,7,1,28.0,64
2,87,Yes,4,6,59.0,78
4,49,No,8,7,30.0,62
8,95,No,6,6,88.0,89
9,93,No,5,3,87.0,100
3,48,Yes,7,3,27.0,44
7,61,No,7,4,51.0,88
9,62,No,5,8,59.0,83
4,46,No,7,4,23.0,54
3,87,No,8,1,71.0,75
5,48,Yes,7,4,33.0,84
1,66,Yes,4,2,38.0,62
3,63,No,6,9,45.0,63
8,68,No,8,7,67.0,93
8,56,No,5,9,49.0,79
4,59,No,6,9,44.0,65
2,46,No,9,1,22.0,66
8,82,No,8,3,79.0,78
8,79,No,6,4,74.0,96
4,46,No,7,3,26.0,76
3,67,No,9,4,49.0,80
2,58,Yes,5,9,33.0,72
9,59,No,5,3,53.0,93
1,83,Yes,4,2,53.0,77
7,78,Yes,7,0,69.0,73
5,79,No,4,3,65.0,86
8,46,No,4,8,37.0,90
4,45,Yes,7,0,28.0,58
7,64,Yes,8,6,56.0,75
5,80,No,9,2,64.0,85
5,98,Yes,4,7,83.0,89
9,52,No,6,5,50.0,67
9,78,No,9,0,77.0,97
9,79,Yes,8,9,79.0,100
6,61,No,7,4,49.0,77
6,88,Yes,5,7,77.0,79
5,56,No,8,2,40.0,58
9,87,No,4,3,83.0,92
8,61,Yes,6,6,53.0,87
7,73,Yes,9,5,66.0,87
7,47,No,7,6,42.0,73
6,88,No,5,8,76.0,81
5,84,Yes,9,8,75.0,76
4,57,No,6,1,40.0,79
3,63,Yes,5,2,45.0,82
3,99,Yes,7,3,73.0,71
6,93,Yes,9,5,84.0,100
4,99,No,8,4,84.0,95
6,81,Yes,4,5,71.0,97
3,41,No,7,7,23.0,53
4,41,Yes,6,1,24.0,53
9,66,No,8,5,64.0,80
5,53,No,9,8,38.0,76
7,87,Yes,5,4,74.0,100
2,78,Yes,8,0,58.0,86
5,92,Yes,8,7,78.0,85
9,92,No,6,3,88.0,82
3,95,No,4,7,76.0,98
9,51,No,8,3,48.0,66
6,71,Yes,8,7,59.0,94
4,67,Yes,4,8,46.0,72
7,94,Yes,4,4,84.0,100
8,67,Yes,5,4,61.0,87
6,85,Yes,9,1,76.0,85
5,64,No,5,8,49.0,71
6,43,Yes,4,3,30.0,65
5,65,No,7,2,47.0,79
